customer_unique_id,recency,frequency,monetary_value,mean_review_score,mean_payment_installments,client_status,dbscan_label
132f423dc424a05048538d51a18301d2,184,1,1725.64,5.0,10.0,Atypique,-1
397b44d5bb99eabf54ea9c2b41ebb905,73,4,1716.56,5.0,2.0,VIP_atypique,-1
55b2d632bc5b7859767c1efd222c1659,228,1,1714.21,2.0,10.0,Atypique,-1
f94b83157ce2162d5eabd54f242d6065,307,1,1714.02,5.0,1.0,Atypique,-1
d233f180804b66001abae78d15d37d10,329,1,1710.18,5.0,10.0,Atypique,-1
5a494c648fde2d1ec4eb614274ea7159,174,2,1703.38,1.0,1.0,Atypique,-1
79dbe8f7d2cd77fc463cfb663ab1375c,23,1,1702.35,5.0,6.0,VIP_atypique,-1
598338796239e698c67fb95bc368de07,208,1,1693.31,5.0,4.0,Atypique,-1
145f5c920dcccbb95081ceaa800df82e,329,1,1692.59,2.0,8.0,Atypique,-1
5bc4d654dc4eb95cbd977eafadb38383,230,1,1692.05,1.0,5.0,Atypique,-1
079ad4f138ec38e726e7d9ac51ae1410,178,1,1680.25,2.0,1.0,Atypique,-1
3bd9e0cb53a95db314b55aa82f814502,243,1,1677.31,1.0,1.0,Atypique,-1
c8639255be49cc9a738ca337bcf2833f,124,1,1675.71,4.0,10.0,Atypique,-1
c169c9937db997a267f749cdd64c161f,478,2,1675.68,5.0,1.0,Atypique,-1
2d0151326be4a97cbfbc8bdcef558e10,135,1,1672.08,5.0,10.0,Atypique,-1
28e7419981c810e071e0f6b061129fbc,164,1,1672.06,5.0,5.0,Atypique,-1
fac9eb2c3c550f64f779646726710b59,228,1,1668.74,1.0,10.0,Atypique,-1
e0c3bef7c7e5679c7776c40abec7fe2b,174,1,1662.02,5.0,10.0,Atypique,-1
5a1f8efaa6ce666e9622bf2e22c42aac,152,1,1658.81,5.0,10.0,Atypique,-1
3d16d54112c57c93d5bfaf6b395b3f0f,345,1,1658.7,5.0,3.0,Atypique,-1
0b8f48c242246419f92b6c43b0165010,296,1,1657.11,5.0,6.0,Atypique,-1
c89e2005ddcd889c687343e2a7d7a115,25,1,1655.6,5.0,10.0,VIP_atypique,-1
061e0d9d23f099ebcc78d1c90f94dfbe,17,1,1654.46,2.0,3.0,VIP_atypique,-1
87c9e7ba960e4c2e6bd786b162adc639,108,2,1653.98,5.0,3.5,VIP_atypique,-1
cb6224938ef72376e7f5183777032fea,339,1,1653.6,5.0,10.0,Atypique,-1
bdd88e5f6a6810d95baef27f2f6055fe,330,1,1653.6,5.0,8.0,Atypique,-1
67d859ff554d120ac0826e97df1175d1,332,1,1653.6,4.0,10.0,Atypique,-1
99f125422e3e42df876a689e8e217798,333,1,1653.6,5.0,10.0,Atypique,-1
6d8ee4a9676fc8b41d3edc2a1eb46579,162,1,1645.82,4.0,10.0,Atypique,-1
5993c0ed4bc51b72a8332bb7fa4303c5,50,1,1644.76,1.0,10.0,VIP_atypique,-1
c1099629bd44f439554021f60cdb120c,272,1,1644.36,1.0,1.0,Atypique,-1
67031f3c7bc5f28dd7b6344294b4ffec,328,1,1643.64,5.0,8.0,Atypique,-1
03fe4b83d144beca992a5e3cffbdb5e6,232,1,1642.54,1.0,5.0,Atypique,-1
36d7df3b5d8326ec792859208e53ac93,286,1,1642.11,4.0,1.0,Atypique,-1
b0ee09a612abb2a24044216adc08b665,336,1,1640.6,4.0,8.0,Atypique,-1
3e2dfa26943efe5cf2f76a725b6675a7,78,1,1638.72,5.0,7.0,VIP_atypique,-1
12138e8ba93973c9b561253683f5581b,86,1,1638.35,1.0,1.0,VIP_atypique,-1
29a553dd8a1a0a22d1ee92263463abe9,327,1,1635.64,5.0,10.0,Atypique,-1
d1c843178ca07004edbe2ac277b35bcc,331,1,1635.64,1.0,4.0,Atypique,-1
fa03405c1fce3650144d97158b4b1849,335,1,1635.64,5.0,15.0,Atypique,-1
13d04f61bea0332b8d69918a99e7fb22,205,1,1635.51,5.0,10.0,Atypique,-1
d184e6edddcb1c912ebed8bb8491fc85,206,1,1628.6,5.0,10.0,Atypique,-1
c6b1d0d394ba367ae48f9bb69158231b,212,1,1628.6,2.0,10.0,Atypique,-1
fe203d7588a60b447f5c5f089b967097,103,1,1628.07,3.0,1.0,VIP_atypique,-1
f6e8b25c5a0d2fc779a3415df14b2f88,328,1,1627.84,5.0,10.0,Atypique,-1
ee1ab7f8a445e29acff592989e83a70a,66,1,1626.65,5.0,1.0,VIP_atypique,-1
8411ef4ebe0b18e75fd75efde5455e15,290,1,1623.94,3.0,6.0,Atypique,-1
6411590d91c48640cb07e72fbb4a359e,163,1,1619.73,1.0,10.0,Atypique,-1
650f945256ea49b526cede6f2dbb89a9,317,1,1605.14,5.0,10.0,Atypique,-1
856cfe0bdb5bc7fad4061781400c54da,331,1,1605.14,4.0,1.0,Atypique,-1
f0d3389b217aa61b5a66744ddd694cc3,178,1,1603.08,5.0,6.0,Atypique,-1
005226be8d5b972d0f72b4e8a79f322b,150,1,1600.51,5.0,10.0,Atypique,-1
fe81bb32c243a86b2f86fbf053fe6140,70,5,1590.76,4.2,2.4,VIP_atypique,-1
fb94a0ec084fa8e33ec943992e3c6929,75,1,1589.57,5.0,10.0,VIP_atypique,-1
fc24db02becd484accefaa5af59c18b1,66,2,1588.9499999999998,5.0,10.0,VIP_atypique,-1
3629a4b18f2eb69e03f153158e48d2cc,217,1,1586.47,3.0,10.0,Atypique,-1
71150730b022797afd6a487820125da0,41,1,1570.79,4.0,2.0,VIP_atypique,-1
d941a608aa14794954f62d8c3da2b9dd,84,1,1570.21,5.0,5.0,VIP_atypique,-1
1b3033b0a47ab66dfbe6607550bfe38d,252,1,1564.07,5.0,3.0,Atypique,-1
